CIS Microsoft Intune for Windows 11 Benchmark
v4.0.0 - 04-25-2025

Compliance Status|Number|Level|Title|Implemented|Reasoning|Profile Applicability|Description|Rationale|Impact|Audit|Remediation|Default Value|References|Additional Information
To Review|6.3|(L1)|Ensure 'Account Logon Logoff Audit Group Membership' is set to include 'Success' (Automated)|||• Level 1 (L1)|This policy allows you to audit the group membership information in the user’s logon token. Events in this subcategory are generated on the computer on which a logon session is created. For an interactive logon, the security audit event is generated on the computer that the user logged on to. For a network logon, such as accessing a shared folder on the network, the security audit event is generated on the computer hosting the resource. The recommended state for this setting is to include: Success. Note: A Windows 10, Server 2016 or newer OS is required to access and set this value in Group Policy.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9249-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Account Logon Logoff Audit Group Membership|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-group-membership 2. GRID: MS-00000210 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.4|(L1)|Ensure 'Account Logon Logoff Audit Logoff' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports when a user logs off from the system. These events occur on the accessed computer. For interactive logons, the generation of these events occurs on the computer that is logged on to. If a network logon takes place to access a share, these events generate on the computer that hosts the accessed resource. If you configure this setting to No auditing, it is difficult or impossible to determine which user has accessed or attempted to access organization computers. Events for this subcategory include: • 4634: An account was logged off. • 4647: User initiated logoff. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9216-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Account Logon Logoff Audit Logoff|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-logoff 2. GRID: MS-00000211 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.5|(L1)|Ensure 'Account Logon Logoff Audit Logon' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|This subcategory reports when a user attempts to log on to the system. These events occur on the accessed computer. For interactive logons, the generation of these events occurs on the computer that is logged on to. If a network logon takes place to access a share, these events generate on the computer that hosts the accessed resource. If you configure this setting to No auditing, it is difficult or impossible to determine which user has accessed or attempted to access organization computers. Events for this subcategory include: • 4624: An account was successfully logged on. • 4625: An account failed to log on. • 4648: A logon was attempted using explicit credentials. • 4675: SIDs were filtered. The recommended state for this setting is: Success and Failure.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9215-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Account Logon Logoff Audit Logon|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-logon 2. GRID: MS-00000212 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.6|(L1)|Ensure 'Account Management Audit Application Group Management' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|"This policy setting allows you to audit events generated by changes to application groups such as the following: • Application group is created, changed, or deleted. • Member is added or removed from an application group. Application groups are utilized by Windows Authorization Manager, which is a flexible framework created by Microsoft for integrating role-based access control (RBAC) into applications. More information on Windows Authorization Manager is available at MSDN - Windows Authorization Manager. The recommended state for this setting is: Success and Failure. Note: Although Microsoft ""Deprecated"" Windows Authorization Manager (AzMan) in Windows Server 2012 and 2012 R2, this feature still exists in the OS (unimproved), and therefore should still be audited."|Auditing events in this category may be useful when investigating an incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9239-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Account Management Audit Application Group Management|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-application-group-management 2. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/advanced-security-audit-policy-settings 3. GRID: MS-00000199 4. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.7|(L1)|Ensure 'Audit Authentication Policy Change' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports changes in authentication policy. Events for this subcategory include: • 4706: A new trust was created to a domain. • 4707: A trust to a domain was removed. • 4713: Kerberos policy was changed. • 4716: Trusted domain information was modified. • 4717: System security access was granted to an account. • 4718: System security access was removed from an account. • 4739: Domain Policy was changed. • 4864: A namespace collision was detected. • 4865: A trusted forest information entry was added. • 4866: A trusted forest information entry was removed. • 4867: A trusted forest information entry was modified. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9230-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Audit Authentication Policy Change|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-authentication-policy-change 2. GRID: MS-00000220 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.8|(L1)|Ensure 'Audit Authorization Policy Change' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports changes in authorization policy. Events for this subcategory include: • 4703: A user right was adjusted. • 4704: A user right was assigned. • 4705: A user right was removed. • 4670: Permissions on an object were changed. • 4911: Resource attributes of the object were changed. • 4913: Central Access Policy on the object was changed. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9231-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Audit Authorization Policy Change|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-authorization-policy-change 2. GRID: MS-00000221 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.9|(L1)|Ensure 'Audit Changes to Audit Policy' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports changes in audit policy including SACL changes. Events for this subcategory include: • 4715: The audit policy (SACL) on an object was changed. • 4719: System audit policy was changed. • 4902: The Per-user audit policy table was created. • 4904: An attempt was made to register a security event source. • 4905: An attempt was made to unregister a security event source. • 4906: The CrashOnAuditFail value has changed. • 4907: Auditing settings on object were changed. • 4908: Special Groups Logon table modified. • 4912: Per User Audit Policy was changed. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce922f-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Audit Changes to Audit Policy|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-audit-policy-change 2. GRID: MS-00000219 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.10|(L1)|Ensure 'Audit File Share Access' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|This policy setting allows you to audit attempts to access a shared folder. The recommended state for this setting is: Success and Failure. Note: There are no system access control lists (SACLs) for shared folders. If this policy setting is enabled, access to all shared folders on the system is audited.|In an enterprise managed environment, workstations should have limited file sharing activity, as file servers would normally handle the overall burden of file sharing activities. Any unusual file sharing activity on workstations may therefore be useful in an investigation of potentially malicious activity.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9224-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Audit File Share Access|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-file-share 2. GRID: MS-00000216 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.11|(L1)|Ensure 'Audit Other Logon Logoff Events' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|This subcategory reports other logon/logoff-related events, such as Remote Desktop Services session disconnects and reconnects, using RunAs to run processes under a different account, and locking and unlocking a workstation. Events for this subcategory include: • 4649: A replay attack was detected. • 4778: A session was reconnected to a Window Station. • 4779: A session was disconnected from a Window Station. • 4800: The workstation was locked. • 4801: The workstation was unlocked. • 4802: The screen saver was invoked. • 4803: The screen saver was dismissed. • 5378: The requested credentials delegation was disallowed by policy. • 5632: A request was made to authenticate to a wireless network. • 5633: A request was made to authenticate to a wired network. The recommended state for this setting is: Success and Failure.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce921c-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Audit Other Logon Logoff Events|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-other-logonlogoff-events 2. GRID: MS-00000213 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.12|(L1)|Ensure 'Audit Security Group Management' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports each event of security group management, such as when a security group is created, changed, or deleted or when a member is added to or removed from a security group. If you enable this Audit policy setting, administrators can track events to detect malicious, accidental, and authorized creation of security group accounts. Events for this subcategory include: • 4727: A security-enabled global group was created. • 4728: A member was added to a security-enabled global group. • 4729: A member was removed from a security-enabled global group. • 4730: A security-enabled global group was deleted. • 4731: A security-enabled local group was created. • 4732: A member was added to a security-enabled local group. • 4733: A member was removed from a security-enabled local group. • 4734: A security-enabled local group was deleted. • 4735: A security-enabled local group was changed. • 4737: A security-enabled global group was changed. • 4754: A security-enabled universal group was created. • 4755: A security-enabled universal group was changed. • 4756: A member was added to a security-enabled universal group. • 4757: A member was removed from a security-enabled universal group. • 4758: A security-enabled universal group was deleted. • 4764: A group's type was changed. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9237-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Audit Security Group Management|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-security-group-management 2. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/advanced-security-audit-policy-settings 3. GRID: MS-00000203 4. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.13|(L1)|Ensure 'Audit Security System Extension' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports the loading of extension code such as authentication packages by the security subsystem. Events for this subcategory include: • 4610: An authentication package has been loaded by the Local Security Authority. • 4611: A trusted logon process has been registered with the Local Security Authority. • 4614: A notification package has been loaded by the Security Account Manager. • 4622: A security package has been loaded by the Local Security Authority. • 4697: A service was installed in the system. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9211-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Audit Security System Extension|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-security-system-extension 2. GRID: MS-00000228 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.14|(L1)|Ensure 'Audit Special Logon' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports when a special logon is used. A special logon is a logon that has administrator-equivalent privileges and can be used to elevate a process to a higher level. Events for this subcategory include: • 4964: Special groups have been assigned to a new logon. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce921b-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Audit Special Logon|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-special-logon 2. GRID: MS-00000214 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.15|(L1)|Ensure 'Audit User Account Management' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|This subcategory reports each event of user account management, such as when a user account is created, changed, or deleted; a user account is renamed, disabled, or enabled; or a password is set or changed. If you enable this Audit policy setting, administrators can track events to detect malicious, accidental, and authorized creation of user accounts. Events for this subcategory include: • 4720: A user account was created. • 4722: A user account was enabled. • 4723: An attempt was made to change an account's password. • 4724: An attempt was made to reset an account's password. • 4725: A user account was disabled. • 4726: A user account was deleted. • 4738: A user account was changed. • 4740: A user account was locked out. • 4765: SID History was added to an account. • 4766: An attempt to add SID History to an account failed. • 4767: A user account was unlocked. • 4780: The ACL was set on accounts which are members of administrators groups. • 4781: The name of an account was changed: • 4794: An attempt was made to set the Directory Services Restore Mode. • 5376: Credential Manager credentials were backed up. • 5377: Credential Manager credentials were restored from a backup. The recommended state for this setting is: Success and Failure.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9235-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Audit User Account Management|Success.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-user-account-management 2. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/advanced-security-audit-policy-settings 3. GRID: MS-00000204 4. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.16|(L1)|Ensure 'Detailed Tracking Audit PNP Activity' is set to include 'Success' (Automated)|||• Level 1 (L1)|This policy setting allows you to audit when plug and play detects an external device. The recommended state for this setting is to include: Success. Note: A Windows 10, Server 2016 or newer OS is required to access and set this value in Group Policy.|Enabling this setting will allow a user to audit events when a device is plugged into a system. This can help alert IT staff if unapproved devices are plugged in.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9248-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Detailed Tracking Audit PNP Activity|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-pnp-activity 2. GRID: MS-00000205 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.17|(L1)|Ensure 'Detailed Tracking Audit Process Creation' is set to include 'Success' (Automated)|||• Level 1 (L1)|This subcategory reports the creation of a process and the name of the program or user that created it. Events for this subcategory include: • 4688: A new process has been created. • 4696: A primary token was assigned to process. Refer to Microsoft Knowledge Base article 947226: Description of security events in Windows Vista and in Windows Server 2008 for the most recent information about this setting. The recommended state for this setting is to include: Success.|Auditing these events may be useful when investigating a security incident.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce922b-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success. Auditing\Detailed Tracking Audit Process Creation|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-process-creation 2. GRID: MS-00000206 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.18|(L1)|Ensure 'Object Access Audit Detailed File Share' is set to include 'Failure' (Automated)|||• Level 1 (L1)|This subcategory allows you to audit attempts to access files and folders on a shared folder. Events for this subcategory include: • 5145: network share object was checked to see whether client can be granted desired access. The recommended state for this setting is to include: Failure.|Auditing the Failures will log which unauthorized users attempted (and failed) to get access to a file or folder on a network share on this computer, which could possibly be an indication of malicious intent.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9244-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Failure. Auditing\Object Access Audit Detailed File Share|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-detailed-file-share 2. GRID: MS-00000215 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.19|(L1)|Ensure 'Object Access Audit Other Object Access Events' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|This policy setting allows you to audit events generated by the management of task scheduler jobs or COM+ objects. For scheduler jobs, the following are audited: • Job created. • Job deleted. • Job enabled. • Job disabled. • Job updated. For COM+ objects, the following are audited: • Catalog object added. • Catalog object updated. • Catalog object deleted. The recommended state for this setting is: Success and Failure.|The unexpected creation of scheduled tasks and COM+ objects could potentially be an indication of malicious activity. Since these types of actions are generally low volume, it may be useful to capture them in the audit logs for use during an investigation.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9227-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Object Access Audit Other Object Access Events|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-other-object-access-events 2. GRID: MS-00000217 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.20|(L1)|Ensure 'Object Access Audit Removable Storage' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|This policy setting allows you to audit user attempts to access file system objects on a removable storage device. A security audit event is generated only for all objects for all types of access requested. If you configure this policy setting, an audit event is generated each time an account accesses a file system object on a removable storage. Success audits record successful attempts and Failure audits record unsuccessful attempts. If you do not configure this policy setting, no audit event is generated when an account accesses a file system object on a removable storage. The recommended state for this setting is: Success and Failure. Note: A Windows 8.0, Server 2012 (non-R2) or newer OS is required to access and set this value in Group Policy.|Auditing removable storage may be useful when investigating an incident. For example, if an individual is suspected of copying sensitive information onto a USB drive.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9245-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Object Access Audit Removable Storage|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-removable-storage 2. GRID: MS-00000218 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
To Review|6.21|(L1)|Ensure 'Policy Change Audit MPSSVC Rule Level Policy Change' is set to 'Success and Failure' (Automated)|||• Level 1 (L1)|This subcategory determines whether the operating system generates audit events when changes are made to policy rules for the Microsoft Protection Service (MPSSVC.exe). Events for this subcategory include: • 4944: The following policy was active when the Windows Firewall started. • 4945: A rule was listed when the Windows Firewall started. • 4946: A change has been made to Windows Firewall exception list. A rule was added. • 4947: A change has been made to Windows Firewall exception list. A rule was modified. • 4948: A change has been made to Windows Firewall exception list. A rule was deleted. • 4949: Windows Firewall settings were restored to the default values. • 4950: A Windows Firewall setting has changed. • 4951: A rule has been ignored because its major version number was not recognized by Windows Firewall. • 4952: Parts of a rule have been ignored because its minor version number was not recognized by Windows Firewall. The other parts of the rule will be enforced. • 4953: A rule has been ignored by Windows Firewall because it could not parse the rule. • 4954: Windows Firewall Group Policy settings have changed. The new settings have been applied. • 4956: Windows Firewall has changed the active profile. • 4957: Windows Firewall did not apply the following rule. • 4958: Windows Firewall did not apply the following rule because the rule referred to items not configured on this computer. The recommended state for this setting is: Success and Failure|Changes to firewall rules are important for understanding the security state of the computer and how well it is protected against network attacks.|If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected, or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.|"Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. OR To audit the system using auditpol.exe, perform the following and confirm it is set as prescribed: auditpol /get /subcategory:""{0cce9232-69ae-11d9-bed3-505054503030}"""|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Success and Failure. Auditing\Policy Change Audit MPSSVC Rule Level Policy Change|No Auditing.|1. https://learn.microsoft.com/en-us/windows/security/threatprotection/auditing/audit-mpssvc-rule-level-policy-change 2. GRID: MS-00000222 3. Minimum OS CSP: Windows 10, Version 1803 with KB4516045 and later|
